"pattern","zero","replicate","method","metrics","value","f"
"bc_pattern",30,29,"BayesCafe","ARI",1,2
"bc_pattern",30,30,"BayesCafe","ARI",0.831069079588272,0
"bc_pattern",30,30,"BayesCafe","ARI",0.952384884783493,0.5
"bc_pattern",30,30,"BayesCafe","ARI",0.968128032900095,1
"bc_pattern",30,30,"BayesCafe","ARI",0.936770129785672,1.5
"bc_pattern",30,30,"BayesCafe","ARI",-0.000127502198513269,2
"bc_pattern",50,1,"BayesCafe","ARI",0.516461184121393,0
"bc_pattern",50,1,"BayesCafe","ARI",0.677686871752312,0.5
"bc_pattern",50,1,"BayesCafe","ARI",0.875598441728962,1
"bc_pattern",50,1,"BayesCafe","ARI",0.00012853044204955,1.5
"bc_pattern",50,1,"BayesCafe","ARI",0.664539897057332,2
"bc_pattern",50,2,"BayesCafe","ARI",0.600578467865305,0
"bc_pattern",50,2,"BayesCafe","ARI",0.921284053791875,0.5
"bc_pattern",50,2,"BayesCafe","ARI",0.787691573995795,1
"bc_pattern",50,2,"BayesCafe","ARI",0.831066638279753,1.5
"bc_pattern",50,2,"BayesCafe","ARI",0.731680757531499,2
"bc_pattern",50,3,"BayesCafe","ARI",0.816479157182806,0
"bc_pattern",50,3,"BayesCafe","ARI",0.890697060465275,0.5
"bc_pattern",50,3,"BayesCafe","ARI",0.845782077895534,1
"bc_pattern",50,3,"BayesCafe","ARI",0.831069079588272,1.5
"bc_pattern",50,3,"BayesCafe","ARI",0.677714816535067,2
"bc_pattern",50,4,"BayesCafe","ARI",0.528089261327214,0
"bc_pattern",50,4,"BayesCafe","ARI",0.845783192225986,0.5
"bc_pattern",50,4,"BayesCafe","ARI",0.831070823336871,1
"bc_pattern",50,4,"BayesCafe","ARI",0.638559673362458,1.5
"bc_pattern",50,4,"BayesCafe","ARI",0.773503473991833,2
"bc_pattern",50,5,"BayesCafe","ARI",0.745473872135775,0
"bc_pattern",50,5,"BayesCafe","ARI",0.717971427620277,0.5
"bc_pattern",50,5,"BayesCafe","ARI",0.717972009871461,1
"bc_pattern",50,5,"BayesCafe","ARI",0.845780804355299,1.5
"bc_pattern",50,5,"BayesCafe","ARI",0.731658322580645,2
"bc_pattern",50,6,"BayesCafe","ARI",0.516473163031554,0
"bc_pattern",50,6,"BayesCafe","ARI",0.936770064516129,0.5
"bc_pattern",50,6,"BayesCafe","ARI",0.921284053791875,1
"bc_pattern",50,6,"BayesCafe","ARI",0.952384786481345,1.5
"bc_pattern",50,6,"BayesCafe","ARI",0.968128032900095,2
"bc_pattern",50,7,"BayesCafe","ARI",0.759418799819149,0
"bc_pattern",50,7,"BayesCafe","ARI",0.704414123709425,0.5
"bc_pattern",50,7,"BayesCafe","ARI",0.845781281935352,1
"bc_pattern",50,7,"BayesCafe","ARI",0.802021363047157,1.5
"bc_pattern",50,7,"BayesCafe","ARI",0.613138234089676,2
"bc_pattern",50,8,"BayesCafe","ARI",0.563761118799839,0
"bc_pattern",50,8,"BayesCafe","ARI",0.84578064516129,0.5
"bc_pattern",50,8,"BayesCafe","ARI",0.875597542835731,1
"bc_pattern",50,8,"BayesCafe","ARI",0.651464617842975,1.5
"bc_pattern",50,8,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",50,9,"BayesCafe","ARI",0.551743145403534,0
"bc_pattern",50,9,"BayesCafe","ARI",0.745477024935685,0.5
"bc_pattern",50,9,"BayesCafe","ARI",0.952384884783493,1
"bc_pattern",50,9,"BayesCafe","ARI",0.00012853044204955,1.5
"bc_pattern",50,9,"BayesCafe","ARI",0,2
"bc_pattern",50,10,"BayesCafe","ARI",0.802021363047157,0
"bc_pattern",50,10,"BayesCafe","ARI",0.787693327236186,0.5
"bc_pattern",50,10,"BayesCafe","ARI",0.905926290656732,1
"bc_pattern",50,10,"BayesCafe","ARI",-0.000127502198513269,1.5
"bc_pattern",50,10,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",50,11,"BayesCafe","ARI",0.00685298443911121,0
"bc_pattern",50,11,"BayesCafe","ARI",0.773491783923975,0.5
"bc_pattern",50,11,"BayesCafe","ARI",0.875596387096774,1
"bc_pattern",50,11,"BayesCafe","ARI",0,1.5
"bc_pattern",50,11,"BayesCafe","ARI",0,2
"bc_pattern",50,12,"BayesCafe","ARI",0.539857618460104,0
"bc_pattern",50,12,"BayesCafe","ARI",0.845780804355299,0.5
"bc_pattern",50,12,"BayesCafe","ARI",0.845781281935352,1
"bc_pattern",50,12,"BayesCafe","ARI",0.875596900761184,1.5
"bc_pattern",50,12,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",50,13,"BayesCafe","ARI",0.551735741935484,0
"bc_pattern",50,13,"BayesCafe","ARI",0.816480672695686,0.5
"bc_pattern",50,13,"BayesCafe","ARI",0.845782077895534,1
"bc_pattern",50,13,"BayesCafe","ARI",0.651500232234092,1.5
"bc_pattern",50,13,"BayesCafe","ARI",0.816480672695686,2
"bc_pattern",50,14,"BayesCafe","ARI",0.921284053791875,0
"bc_pattern",50,14,"BayesCafe","ARI",0.845781281935352,0.5
"bc_pattern",50,14,"BayesCafe","ARI",0.7876968336301,1
"bc_pattern",50,14,"BayesCafe","ARI",0.00012853044204955,1.5
"bc_pattern",50,14,"BayesCafe","ARI",0.759433699347862,2
"bc_pattern",50,15,"BayesCafe","ARI",0.613102293392957,0
"bc_pattern",50,15,"BayesCafe","ARI",0.77349739530714,0.5
"bc_pattern",50,15,"BayesCafe","ARI",0.0522627989792534,1
"bc_pattern",50,15,"BayesCafe","ARI",3.08511762385077e-06,1.5
"bc_pattern",50,15,"BayesCafe","ARI",0.651493397713327,2
"bc_pattern",50,16,"BayesCafe","ARI",0.600572283280224,0
"bc_pattern",50,16,"BayesCafe","ARI",0.802021363047157,0.5
"bc_pattern",50,16,"BayesCafe","ARI",0.86062429403244,1
"bc_pattern",50,16,"BayesCafe","ARI",0,1.5
"bc_pattern",50,16,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",50,17,"BayesCafe","ARI",0.460234486773732,0
"bc_pattern",50,17,"BayesCafe","ARI",0.78769135483871,0.5
"bc_pattern",50,17,"BayesCafe","ARI",0.759421779872539,1
"bc_pattern",50,17,"BayesCafe","ARI",0.664533664457025,1.5
"bc_pattern",50,17,"BayesCafe","ARI",0,2
"bc_pattern",50,18,"BayesCafe","ARI",0.690984961387346,0
"bc_pattern",50,18,"BayesCafe","ARI",0.802023406671761,0.5
"bc_pattern",50,18,"BayesCafe","ARI",0.773491783923975,1
"bc_pattern",50,18,"BayesCafe","ARI",0.600592073278358,1.5
"bc_pattern",50,18,"BayesCafe","ARI",0.773500200894464,2
"bc_pattern",50,19,"BayesCafe","ARI",0.759418799819149,0
"bc_pattern",50,19,"BayesCafe","ARI",0.745481753989101,0.5
"bc_pattern",50,19,"BayesCafe","ARI",0.845782077895534,1
"bc_pattern",50,19,"BayesCafe","ARI",0.875598441728962,1.5
"bc_pattern",50,19,"BayesCafe","ARI",0.773503473991833,2
"bc_pattern",50,20,"BayesCafe","ARI",0.460234486773732,0
"bc_pattern",50,20,"BayesCafe","ARI",0.759418799819149,0.5
"bc_pattern",50,20,"BayesCafe","ARI",0.759426746464131,1
"bc_pattern",50,20,"BayesCafe","ARI",0.00012853044204955,1.5
"bc_pattern",50,20,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",50,21,"BayesCafe","ARI",0.845780804355299,0
"bc_pattern",50,21,"BayesCafe","ARI",0.15151608853487,0.5
"bc_pattern",50,21,"BayesCafe","ARI",0.875596900761184,1
"bc_pattern",50,21,"BayesCafe","ARI",0.968128032900095,1.5
"bc_pattern",50,21,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",50,22,"BayesCafe","ARI",0.600578467865305,0
"bc_pattern",50,22,"BayesCafe","ARI",0.875596515513274,0.5
"bc_pattern",50,22,"BayesCafe","ARI",0.905926290656732,1
"bc_pattern",50,22,"BayesCafe","ARI",0.691011753485675,1.5
"bc_pattern",50,22,"BayesCafe","ARI",0.677702840792969,2
"bc_pattern",50,23,"BayesCafe","ARI",0.664509424365208,0
"bc_pattern",50,23,"BayesCafe","ARI",0.952384786481345,0.5
