"data","model","mse"
"mouse_olfactory_bulb","ZINB",6.91929136690647
"mouse_olfactory_bulb","ZINB",6.97517805755396
"mouse_olfactory_bulb","ZINB",7.07077697841727
"mouse_olfactory_bulb","ZINB",6.95754316546763
"mouse_olfactory_bulb","ZINB",6.96967625899281
"mouse_olfactory_bulb","ZINB",7.00787410071942
"mouse_olfactory_bulb","ZINB",6.99532374100719
"mouse_olfactory_bulb","ZINB",6.86278597122302
"mouse_olfactory_bulb","ZINB",6.94009892086331
"mouse_olfactory_bulb","ZINB",6.93324100719424
"mouse_olfactory_bulb","ZINB",7.06480215827338
"mouse_olfactory_bulb","ZINB",6.89176079136691
"mouse_olfactory_bulb","ZINB",6.96764208633093
"mouse_olfactory_bulb","ZINB",7.04487230215827
"mouse_olfactory_bulb","ZINB",6.9369154676259
"mouse_olfactory_bulb","ZINB",6.88708633093525
"mouse_olfactory_bulb","ZINB",7.09446942446043
"mouse_olfactory_bulb","ZINB",6.98238309352518
"mouse_olfactory_bulb","ZINB",7.00071582733813
"mouse_olfactory_bulb","ZINB",6.94193705035971
